"LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
"Inner Regional Australia","26-39","non_wearing_seatbelts","Police issued",3301,0,55
"Inner Regional Australia","26-39","speed_fines","Fixed camera",11133,0,0
"Inner Regional Australia","26-39","speed_fines","Mobile camera",51287,0,0
"Inner Regional Australia","26-39","speed_fines","Police issued",75432,4,301
"Inner Regional Australia","26-39","unlicensed_driving","Manual Action",983,0,3238
"Inner Regional Australia","26-39","unlicensed_driving","Police issued",2128,0,3375
"Inner Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","40-64","mobile_phone_use","Mobile camera",2858,0,0
"Inner Regional Australia","40-64","mobile_phone_use","Police issued",1669,0,14
"Inner Regional Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",2929,0,0
"Inner Regional Australia","40-64","non_wearing_seatbelts","Police issued",2382,0,19
"Inner Regional Australia","40-64","speed_fines","Fixed camera",18291,0,0
"Inner Regional Australia","40-64","speed_fines","Mobile camera",84404,0,0
"Inner Regional Australia","40-64","speed_fines","Police issued",83775,6,171
"Inner Regional Australia","40-64","unlicensed_driving","Manual Action",681,0,2108
"Inner Regional Australia","40-64","unlicensed_driving","Police issued",1465,0,1999
"Inner Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","65 and over","mobile_phone_use","Mobile camera",498,0,0
"Inner Regional Australia","65 and over","mobile_phone_use","Police issued",220,0,0
"Inner Regional Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",1221,0,0
"Inner Regional Australia","65 and over","non_wearing_seatbelts","Police issued",613,0,1
"Inner Regional Australia","65 and over","speed_fines","Fixed camera",7566,0,0
"Inner Regional Australia","65 and over","speed_fines","Mobile camera",35347,0,0
"Inner Regional Australia","65 and over","speed_fines","Police issued",20517,0,7
"Inner Regional Australia","65 and over","unlicensed_driving","Manual Action",110,0,132
"Inner Regional Australia","65 and over","unlicensed_driving","Police issued",133,0,134
"Inner Regional Australia","All Ages","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","All Ages","mobile_phone_use","Mobile camera",2870,0,0
"Inner Regional Australia","All Ages","mobile_phone_use","Police issued",1,0,0
"Inner Regional Australia","All Ages","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","All Ages","non_wearing_seatbelts","Mobile camera",5824,0,0
"Inner Regional Australia","All Ages","speed_fines","Fixed camera",8880,0,0
"Inner Regional Australia","All Ages","speed_fines","Mobile camera",27506,0,0
"Inner Regional Australia","All Ages","speed_fines","Police issued",58,0,0
"Inner Regional Australia","All Ages","unlicensed_driving","Manual Action",618,0,0
"Inner Regional Australia","All Ages","unlicensed_driving","Police issued",5,0,0
"Major Cities of Australia","0-16","mobile_phone_use","Camera",4,0,0
"Major Cities of Australia","0-16","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","0-16","mobile_phone_use","Mobile camera",0,0,0
"Major Cities of Australia","0-16","mobile_phone_use","Police issued",43,0,6
"Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0
"Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",78,0,10
"Major Cities of Australia","0-16","speed_fines","Fixed camera",38,0,0
"Major Cities of Australia","0-16","speed_fines","Mobile camera",20,0,0
"Major Cities of Australia","0-16","speed_fines","Police issued",189,3,43
"Major Cities of Australia","0-16","unlicensed_driving","Manual Action",37,15,257
"Major Cities of Australia","0-16","unlicensed_driving","Police issued",70,13,390
"Major Cities of Australia","17-25","mobile_phone_use","Camera",3601,0,0
"Major Cities of Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","17-25","mobile_phone_use","Mobile camera",2729,0,0
"Major Cities of Australia","17-25","mobile_phone_use","Police issued",12226,0,127
"Major Cities of Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","17-25","non_wearing_seatbelts","Mobile camera",3011,0,0
"Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",3756,0,77
"Major Cities of Australia","17-25","speed_fines","Fixed camera",75168,0,0
"Major Cities of Australia","17-25","speed_fines","Mobile camera",55716,0,0
"Major Cities of Australia","17-25","speed_fines","Police issued",62551,23,1031
"Major Cities of Australia","17-25","unlicensed_driving","Manual Action",2411,42,6088
"Major Cities of Australia","17-25","unlicensed_driving","Police issued",2668,30,5918
"Major Cities of Australia","26-39","mobile_phone_use","Camera",10788,0,0
"Major Cities of Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","26-39","mobile_phone_use","Mobile camera",14127,0,0
"Major Cities of Australia","26-39","mobile_phone_use","Police issued",17600,1,131
"Major Cities of Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","26-39","non_wearing_seatbelts","Mobile camera",13113,0,0
"Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",6637,1,132
"Major Cities of Australia","26-39","speed_fines","Fixed camera",247586,0,0
"Major Cities of Australia","26-39","speed_fines","Mobile camera",197239,0,0
"Major Cities of Australia","26-39","speed_fines","Police issued",80085,32,751
"Major Cities of Australia","26-39","unlicensed_driving","Manual Action",2625,114,8424
"Major Cities of Australia","26-39","unlicensed_driving","Police issued",5284,118,8710
"Major Cities of Australia","40-64","mobile_phone_use","Camera",10535,0,0
"Major Cities of Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","40-64","mobile_phone_use","Mobile camera",17553,0,0
"Major Cities of Australia","40-64","mobile_phone_use","Police issued",12919,1,72
"Major Cities of Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","40-64","non_wearing_seatbelts","Mobile camera",17725,0,0
"Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",4803,0,72
"Major Cities of Australia","40-64","speed_fines","Fixed camera",417863,0,0
"Major Cities of Australia","40-64","speed_fines","Mobile camera",312826,0,0
"Major Cities of Australia","40-64","speed_fines","Police issued",76454,16,378
"Major Cities of Australia","40-64","unlicensed_driving","Manual Action",1307,48,5440
"Major Cities of Australia","40-64","unlicensed_driving","Police issued",2941,54,5577
"Major Cities of Australia","65 and over","mobile_phone_use","Camera",1236,0,0
"Major Cities of Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","65 and over","mobile_phone_use","Mobile camera",2791,0,0
"Major Cities of Australia","65 and over","mobile_phone_use","Police issued",1399,0,6
"Major Cities of Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","65 and over","non_wearing_seatbelts","Mobile camera",4993,0,0
"Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",836,0,7
"Major Cities of Australia","65 and over","speed_fines","Fixed camera",125705,0,0
"Major Cities of Australia","65 and over","speed_fines","Mobile camera",92044,0,0
"Major Cities of Australia","65 and over","speed_fines","Police issued",12560,0,6
"Major Cities of Australia","65 and over","unlicensed_driving","Manual Action",230,0,312
"Major Cities of Australia","65 and over","unlicensed_driving","Police issued",227,0,272
"Major Cities of Australia","All Ages","mobile_phone_use","Camera",772,0,0
"Major Cities of Australia","All Ages","mobile_phone_use","Fixed camera",0,0,0
"Major Cities of Australia","All Ages","mobile_phone_use","Mobile camera",25489,0,0
"Major Cities of Australia","All Ages","mobile_phone_use","Police issued",13,0,0
"Major Cities of Australia","All Ages","non_wearing_seatbelts","Fixed camera",0,0,0
"Major Cities of Australia","All Ages","non_wearing_seatbelts","Mobile camera",19473,0,0
"Major Cities of Australia","All Ages","non_wearing_seatbelts","Police issued",4,0,0
"Major Cities of Australia","All Ages","speed_fines","Fixed camera",145889,0,0
"Major Cities of Australia","All Ages","speed_fines","Mobile camera",86311,0,0
"Major Cities of Australia","All Ages","speed_fines","Police issued",67,0,1
"Major Cities of Australia","All Ages","unlicensed_driving","Manual Action",4508,0,2
"Major Cities of Australia","All Ages","unlicensed_driving","Police issued",14,0,1
"Outer Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0
"Outer Regional Australia","0-16","mobile_phone_use","Police issued",1,0,1
"Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0
"Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",20,0,1
"Outer Regional Australia","0-16","speed_fines","Fixed camera",0,0,0
"Outer Regional Australia","0-16","speed_fines","Mobile camera",1,0,0
"Outer Regional Australia","0-16","speed_fines","Police issued",43,0,7
"Outer Regional Australia","0-16","unlicensed_driving","Manual Action",10,0,27
"Outer Regional Australia","0-16","unlicensed_driving","Police issued",12,0,92
"Outer Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","17-25","mobile_phone_use","Mobile camera",18,0,0
"Outer Regional Australia","17-25","mobile_phone_use","Police issued",300,0,7
"Outer Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",46,0,0
"Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",685,0,13
"Outer Regional Australia","17-25","speed_fines","Fixed camera",286,0,0
"Outer Regional Australia","17-25","speed_fines","Mobile camera",2347,0,0
"Outer Regional Australia","17-25","speed_fines","Police issued",13062,2,65
"Outer Regional Australia","17-25","unlicensed_driving","Manual Action",120,0,472
"Outer Regional Australia","17-25","unlicensed_driving","Police issued",248,0,473
"Outer Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","26-39","mobile_phone_use","Mobile camera",83,0,0
"Outer Regional Australia","26-39","mobile_phone_use","Police issued",490,0,1
"Outer Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",219,0,0
"Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",1125,0,16
"Outer Regional Australia","26-39","speed_fines","Fixed camera",630,0,0
"Outer Regional Australia","26-39","speed_fines","Mobile camera",7995,0,0
"Outer Regional Australia","26-39","speed_fines","Police issued",23451,3,86
"Outer Regional Australia","26-39","unlicensed_driving","Manual Action",308,0,842
"Outer Regional Australia","26-39","unlicensed_driving","Police issued",592,0,926
"Outer Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","40-64","mobile_phone_use","Mobile camera",86,0,0
"Outer Regional Australia","40-64","mobile_phone_use","Police issued",432,0,2
"Outer Regional Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",265,0,0
"Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",970,0,12
"Outer Regional Australia","40-64","speed_fines","Fixed camera",951,0,0
"Outer Regional Australia","40-64","speed_fines","Mobile camera",13743,0,0
"Outer Regional Australia","40-64","speed_fines","Other",1,0,0
"Outer Regional Australia","40-64","speed_fines","Police issued",28259,5,59
"Outer Regional Australia","40-64","unlicensed_driving","Manual Action",193,0,448
"Outer Regional Australia","40-64","unlicensed_driving","Police issued",399,0,581
"Outer Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","65 and over","mobile_phone_use","Mobile camera",13,0,0
"Outer Regional Australia","65 and over","mobile_phone_use","Police issued",65,0,0
"Outer Regional Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",121,0,0
"Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",326,0,4
"Outer Regional Australia","65 and over","speed_fines","Fixed camera",320,0,0
"Outer Regional Australia","65 and over","speed_fines","Mobile camera",6549,0,0
"Outer Regional Australia","65 and over","speed_fines","Police issued",7626,0,11
"Outer Regional Australia","65 and over","unlicensed_driving","Manual Action",79,0,51
"Outer Regional Australia","65 and over","unlicensed_driving","Police issued",46,0,59
"Outer Regional Australia","All Ages","mobile_phone_use","Fixed camera",0,0,0
"Outer Regional Australia","All Ages","mobile_phone_use","Mobile camera",124,0,0
"Outer Regional Australia","All Ages","non_wearing_seatbelts","Fixed camera",0,0,0
"Outer Regional Australia","All Ages","non_wearing_seatbelts","Mobile camera",196,0,0
"Outer Regional Australia","All Ages","speed_fines","Fixed camera",189,0,0
"Outer Regional Australia","All Ages","speed_fines","Mobile camera",4311,0,0
"Outer Regional Australia","All Ages","speed_fines","Police issued",21,0,0
"Outer Regional Australia","All Ages","unlicensed_driving","Manual Action",829,0,0
"Outer Regional Australia","All Ages","unlicensed_driving","Police issued",2,0,0
"Remote Australia","0-16","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","0-16","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0
"Remote Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","0-16","speed_fines","Fixed camera",0,0,0
"Remote Australia","0-16","speed_fines","Mobile camera",0,0,0
"Remote Australia","0-16","speed_fines","Police issued",5,0,0
"Remote Australia","0-16","unlicensed_driving","Manual Action",0,0,6
"Remote Australia","0-16","unlicensed_driving","Police issued",4,0,8
"Remote Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","17-25","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","17-25","mobile_phone_use","Police issued",16,0,2
"Remote Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
"Remote Australia","17-25","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","17-25","non_wearing_seatbelts","Police issued",70,0,6
"Remote Australia","17-25","speed_fines","Fixed camera",0,0,0
"Remote Australia","17-25","speed_fines","Mobile camera",39,0,0
"Remote Australia","17-25","speed_fines","Police issued",1187,0,12
"Remote Australia","17-25","unlicensed_driving","Manual Action",8,0,69
"Remote Australia","17-25","unlicensed_driving","Police issued",16,0,88
"Remote Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","26-39","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","26-39","mobile_phone_use","Police issued",31,0,2
"Remote Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
"Remote Australia","26-39","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","26-39","non_wearing_seatbelts","Police issued",112,0,5
"Remote Australia","26-39","speed_fines","Fixed camera",0,0,0
"Remote Australia","26-39","speed_fines","Mobile camera",163,0,0
"Remote Australia","26-39","speed_fines","Police issued",2254,2,8
"Remote Australia","26-39","unlicensed_driving","Manual Action",30,0,140
"Remote Australia","26-39","unlicensed_driving","Police issued",24,0,137
"Remote Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","40-64","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","40-64","mobile_phone_use","Police issued",23,0,0
"Remote Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
"Remote Australia","40-64","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","40-64","non_wearing_seatbelts","Police issued",125,0,1
"Remote Australia","40-64","speed_fines","Fixed camera",0,0,0
"Remote Australia","40-64","speed_fines","Mobile camera",280,0,0
"Remote Australia","40-64","speed_fines","Police issued",2765,0,9
"Remote Australia","40-64","unlicensed_driving","Manual Action",21,0,57
"Remote Australia","40-64","unlicensed_driving","Police issued",14,0,80
"Remote Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","65 and over","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","65 and over","mobile_phone_use","Police issued",6,0,0
"Remote Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
"Remote Australia","65 and over","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","65 and over","non_wearing_seatbelts","Police issued",40,0,0
"Remote Australia","65 and over","speed_fines","Fixed camera",0,0,0
"Remote Australia","65 and over","speed_fines","Mobile camera",105,0,0
"Remote Australia","65 and over","speed_fines","Police issued",780,0,0
"Remote Australia","65 and over","unlicensed_driving","Manual Action",14,0,2
"Remote Australia","65 and over","unlicensed_driving","Police issued",0,0,5
"Remote Australia","All Ages","mobile_phone_use","Fixed camera",0,0,0
"Remote Australia","All Ages","mobile_phone_use","Mobile camera",0,0,0
"Remote Australia","All Ages","non_wearing_seatbelts","Fixed camera",0,0,0
